first,second
18.7590,787.91
18.7734,788.93
18.7878,813.49
18.8023,800.19
18.8167,801.21
18.8311,826.79
18.8455,840.09
18.8599,854.00
18.8743,773.00
18.8887,766.00
18.9031,832.00
18.9175,809.00
18.9319,781.00
18.9463,811.00
18.9607,847.77
18.9751,847.26
18.9895,844.19
19.0040,804.28
19.0184,823.72
19.0328,770.00
19.0472,820.65
19.0616,836.00
19.0760,812.00
19.0904,808.00
19.1048,826.00
19.1192,772.00
19.1336,815.00
19.1480,841.00
19.1624,797.12
19.1768,807.35
19.1913,810.42
19.2057,842.14
19.2201,826.79
19.2345,782.79
19.2489,821.67
19.2633,801.00
19.2777,891.00
19.2921,838.00
19.3065,892.00
19.3209,873.00
19.3353,850.00
19.3497,867.72
19.3641,823.72
19.3785,919.91
19.3930,855.44
19.4074,833.95
19.4218,856.47
19.4362,849.30
19.4506,870.79
19.4650,902.00
19.4794,800.00
19.4938,817.00
19.5082,836.50
19.5226,837.00
19.5370,758.00
19.5514,862.60
19.5658,859.53
19.5802,865.67
19.5947,878.98
19.6091,832.93
19.6235,848.28
19.6379,900.47
19.6523,885.00
19.6667,887.00
19.6811,924.00
19.6955,968.00
19.7099,1008.00
19.7243,1011.00
19.7387,1063.00
19.7531,1160.37
19.7675,1334.33
19.7820,1462.23
19.7964,1640.28
19.8108,2056.74
19.8252,2405.67
19.8396,2636.93
19.8540,2838.00
19.8684,3117.00
19.8828,3264.50
19.8972,3458.00
19.9116,3534.00
19.9260,3917.00
19.9404,4634.00
19.9548,5395.63
19.9692,6047.95
19.9837,6583.63
19.9981,6855.81
20.0125,7145.91
20.0269,7240.56
20.0413,6891.63
20.0557,6688.00
20.0701,7064.00
20.0845,7025.00
20.0989,7229.00
20.1133,7000.00
20.1277,6820.00
20.1421,6322.00
20.1565,5693.40
20.1710,4728.47
20.1854,3627.44
20.1998,2930.60
20.2142,2351.44
20.2286,1890.98
20.2430,1400.84
20.2574,1182.00
20.2718,1057.00
20.2862,1042.00
20.3006,924.00
20.3150,941.00
20.3294,920.00
20.3438,937.00
20.3582,866.19
20.3727,846.23
20.3871,870.79
20.4015,869.77
20.4159,854.42
20.4303,811.44
20.4447,836.51
20.4591,811.50
20.4735,817.00
20.4879,830.00
20.5023,840.50
20.5167,802.00
20.5311,866.50
20.5455,848.00
20.5600,788.93
20.5744,838.05
20.5888,807.35
20.6032,829.86
20.6176,827.30
20.6320,808.37
20.6464,794.05
20.6608,822.00
20.6752,854.00
20.6896,836.00
20.7040,804.00
20.7184,791.00
20.7328,779.00
20.7472,817.00
20.7617,726.51
20.7761,825.77
20.7905,795.07
20.8049,765.91
20.8193,772.56
20.8337,811.44
20.8481,790.98
20.8625,784.00
20.8769,807.00
20.8913,805.00
20.9057,788.50
20.9201,820.00
20.9345,803.00
20.9489,797.00
20.9634,834.47
20.9778,797.63
20.9922,782.79
21.0066,775.63
21.0210,829.86
21.0354,824.74
21.0498,843.16
21.0642,811.00
21.0786,769.00
21.0930,792.00
21.1074,801.00
21.1218,829.00
21.1362,801.00
21.1507,845.21
21.1651,789.95
21.1795,893.30
21.1939,842.14
21.2083,932.19
21.2227,926.05
21.2371,1016.09
21.2515,1109.00
21.2659,1140.00
21.2803,1224.00
21.2947,1425.00
21.3091,1637.00
21.3235,1840.00
21.3379,2228.00
21.3524,2655.35
21.3668,3256.51
21.3812,3491.35
21.3956,3502.60
21.4100,3604.93
21.4244,3279.53
21.4388,2899.91
21.4532,2474.00
21.4676,2003.00
21.4820,1734.00
21.4964,1361.00
21.5108,1201.00
21.5252,1001.00
21.5397,986.00
21.5541,931.16
21.5685,851.35
21.5829,880.00
21.5973,819.63
21.6117,818.60
21.6261,854.42
21.6405,857.49
21.6549,905.00
21.6693,927.00
21.6837,918.00
21.6981,934.00
21.7125,1017.00
21.7269,1052.00
21.7414,1150.00
